# Solar Photospheric Abundances. When photospheric abundances were not present, meteoritic abundances were adopted, except for He (helioseismology).
# M. Asplund, A. M. Armasi, N. Grevesse https://ui.adsabs.harvard.edu/abs/2021A%26A...653A.141A/abstract
# Mean atomic weights from 2001 IUPAC table: www.chem.qmul.ac.uk/iupac/AtWt/
# Z El  A_Sun  atomic_wt
 1 H   12.00    1.00794
 2 He  10.91    4.002602
 3 Li   0.96    6.941
 4 Be   1.38    9.012182
 5 B    2.70   10.811
 6 C    8.46   12.0107
 7 N    7.83   14.0067
 8 O    8.69   15.9994
 9 F    4.40   18.9984032
10 Ne   8.06   20.1797
11 Na   6.22   22.989770
12 Mg   7.55   24.3050
13 Al   6.43   26.981538
14 Si   7.51   28.0855
15 P    5.41   30.973761
16 S    7.12   32.065
17 Cl   5.31   35.453
18 Ar   6.38   39.948
19 K    5.07   39.0983
20 Ca   6.30   40.078
21 Sc   3.14   44.955910
22 Ti   4.97   47.867
23 V    3.90   50.9415
24 Cr   5.62   51.9961
25 Mn   5.42   54.938049
26 Fe   7.46   55.845
27 Co   4.94   58.933200
28 Ni   6.20   58.6934
29 Cu   4.18   63.546
30 Zn   4.56   65.409
31 Ga   3.02   69.723
32 Ge   3.62   72.64
33 As   2.30   74.92160
34 Se   3.34   78.96
35 Br   2.54   79.904
36 Kr   3.12   83.798
37 Rb   2.32   85.4678
38 Sr   2.83   87.62
39 Y    2.21   88.90585
40 Zr   2.59   91.224
41 Nb   1.47   92.90638
42 Mo   1.88   95.94
44 Ru   1.75   101.07
45 Rh   0.78   102.90550
46 Pd   1.57   106.42
47 Ag   0.96   107.8682
48 Cd   1.71   112.411
49 In   0.80   114.818
50 Sn   2.02   118.710
51 Sb   1.01   121.760
52 Te   2.18   127.60
53 I    1.55   126.90447
54 Xe   2.22   131.293
55 Cs   1.08   132.90545
56 Ba   2.27   137.327
57 La   1.11   138.9055
58 Ce   1.58   140.116
59 Pr   0.75   140.90765
60 Nd   1.42   144.24
62 Sm   0.95   150.36
63 Eu   0.52   151.964
64 Gd   1.08   157.25
65 Tb   0.31   158.92534
66 Dy   1.10   162.500
67 Ho   0.48   164.93032
68 Er   0.93   167.259
69 Tm   0.11   168.93421
70 Yb   0.85   173.04
71 Lu   0.10   174.967
72 Hf   0.85   178.49
73 Ta  -0.15   180.9479
74 W    0.79   183.84
75 Re   0.26   186.207
76 Os   1.35   190.23
77 Ir   1.32   192.217
78 Pt   1.61   195.078
79 Au   0.91   196.96655
80 Hg   1.17   200.59
81 Tl   0.92   204.3833
82 Pb   1.95   207.2
83 Bi   0.65   208.98038
90 Th   0.03   232.0381
92 U   -0.54   238.02891
