ObjID,o+_h+,erro(o+_h+),o2+_h+,erro(o2+_h+),ICF(O),o_h,erro(o_h),he+_h+,erro(he+_h+),he2+_h+,erro(he2+_h+),ICF(He),+he_h,erro(+he_h)
J013957.81-004504.2,8.564,0.041,8.324,0.006,1.3,8.901,0.129,10.626,0.144,10.120,0.027,1.5,10.918,0.075
J033923.14-054841.5,8.522,0.033,8.185,0.001,1.3,8.815,0.026,10.805,0.048,10.339,0.017,1.5,11.114,0.023
J074257.23+333217.9,8.366,0.021,7.700,0.001,1.1,8.491,0.018,10.852,0.044,9.833,0.055,1.3,11.007,0.031
J093509.12+002557.4,8.438,0.017,7.647,0.002,1.2,8.580,0.019,10.700,0.061,9.981,0.039,1.4,10.931,0.037
J095759.45+022810.5,8.631,0.033,8.208,0.004,1.4,8.912,0.029,10.757,0.056,10.338,0.017,1.6,11.092,0.026
J100602.50+071131.8,8.825,0.003,7.904,0.001,1.4,9.012,0.014,10.807,0.046,10.370,0.015,1.6,11.158,0.021
J100921.26+013334.5,8.599,0.036,8.377,0.002,1.3,8.931,0.025,10.888,0.038,10.416,0.014,1.5,11.191,0.020
J101754.72-002811.9,8.404,0.026,7.801,0.002,1.3,8.615,0.022,10.895,0.040,10.370,0.016,1.5,11.183,0.021
J102039.81+642435.8,8.681,0.099,7.979,0.003,1.4,8.914,0.083,10.699,0.061,10.334,0.017,1.6,11.066,0.027
J112850.39+021016.2,8.734,0.029,7.456,0.010,1.2,8.850,0.033,11.049,0.082,10.409,0.031,1.4,11.298,0.046
Mrk176,8.564,0.008,8.115,0.004,1.5,8.882,0.012,10.849,0.028,10.576,0.007,1.6,11.238,0.012
3C 33,8.740,0.006,7.998,0.005,1.3,8.939,0.010,10.835,0.028,10.361,0.011,1.5,11.144,0.014
Mrk3,8.549,0.008,8.144,0.005,1.3,8.796,0.010,10.771,0.032,10.194,0.015,1.5,11.035,0.018
Mrk573,8.492,0.010,8.244,0.005,1.4,8.844,0.011,10.848,0.028,10.488,0.008,1.6,11.196,0.012
Mrk78,8.782,0.006,8.351,0.005,1.4,9.071,0.010,10.851,0.027,10.469,0.008,1.6,11.204,0.012
Mrk348,8.654,0.007,8.032,0.005,1.2,8.836,0.007,10.927,0.023,10.286,0.013,1.4,11.173,0.013
Mrk34,8.590,0.008,8.280,0.005,1.3,8.871,0.008,10.929,0.022,10.376,0.010,1.5,11.202,0.012
Mrk1,8.450,0.010,8.073,0.005,1.4,8.740,0.011,10.849,0.027,10.416,0.009,1.5,11.167,0.013
Mrk270,8.844,0.005,7.707,0.007,1.2,8.936,0.006,11.123,0.014,10.298,0.013,1.4,11.320,0.009
IIIZw55,8.655,0.009,7.543,0.009,1.3,8.799,0.011,10.799,0.031,10.260,0.014,1.5,11.086,0.016
3C 452,8.771,0.006,7.710,0.009,1.0,8.825,0.006,11.088,0.017,9.719,0.048,1.4,11.242,0.012
Mrk198,8.446,0.012,7.722,0.011,1.1,8.556,0.011,10.898,0.025,9.815,0.037,1.3,11.049,0.018
Mrk268,8.930,0.007,7.241,0.012,1.1,8.983,0.008,10.824,0.027,9.861,0.033,1.3,10.991,0.019
NGC 2110,8.796,0.006,7.387,0.012,1.1,8.836,0.007,10.992,0.018,9.736,0.043,1.3,11.131,0.013
ESO138G1,8.572,0.015,7.596,0.018,1.4,8.752,0.027,10.885,0.079,10.439,0.029,1.5,11.198,0.037
NGC 3081,8.344,0.013,8.139,0.005,1.5,8.743,0.013,10.848,0.027,10.582,0.006,1.6,11.234,0.012
NGC 4388,8.481,0.011,8.173,0.006,1.2,8.745,0.009,10.894,0.025,10.254,0.013,1.4,11.137,0.015
NGC 5135,8.344,0.014,7.546,0.014,1.3,8.505,0.014,10.850,0.028,10.247,0.014,1.5,11.113,0.015
NGC 5728,8.813,0.009,7.634,0.006,1.3,8.950,0.009,11.020,0.019,10.471,0.009,1.5,11.296,0.010
Akn347a,8.485,0.011,8.025,0.004,1.3,8.744,0.010,10.927,0.023,10.467,0.008,1.5,11.232,0.012
UM16a,8.493,0.010,8.202,0.004,1.3,8.770,0.007,11.103,0.015,10.505,0.008,1.4,11.360,0.008
Mrk612a,8.334,0.016,7.925,0.007,1.1,8.517,0.012,11.159,0.014,10.145,0.018,1.4,11.338,0.010
Mrk573,8.382,0.011,8.213,0.002,1.4,8.751,0.018,10.802,0.050,10.390,0.031,1.5,11.126,0.024
NGC 2992,8.743,0.014,7.375,0.008,1.1,8.808,0.020,10.752,0.055,9.813,0.125,1.3,10.922,0.037
IC2560,8.245,0.005,8.185,0.004,1.3,8.638,0.028,10.847,0.045,10.344,0.105,1.5,11.138,0.028
NGC 5664,8.538,0.012,8.006,0.010,1.2,8.713,0.014,10.801,0.049,9.991,0.037,1.4,11.002,0.033
NGC 5728,8.482,0.006,8.217,0.005,1.2,8.768,0.013,10.762,0.054,10.157,0.025,1.4,11.017,0.030
ESO339-G11,8.480,0.023,7.957,0.003,1.2,8.666,0.021,10.802,0.050,10.050,0.035,1.4,11.014,0.030
NGC 6890,8.246,0.010,8.025,0.001,1.4,8.605,0.209,10.626,0.146,10.219,0.023,1.5,10.951,0.068
IC5063,8.486,0.009,8.038,0.004,1.1,8.675,0.011,10.751,0.055,9.886,0.049,1.3,10.936,0.035
NGC 7130,8.250,0.008,7.690,0.005,1.4,8.497,0.031,10.546,0.090,10.115,0.030,1.6,10.874,0.042
NGC 7582,8.139,0.007,7.517,0.021,1.1,8.285,0.026,10.848,0.045,9.967,0.206,1.3,11.030,0.034
NGC 7590,8.650,0.024,7.717,0.020,1.1,8.763,0.054,10.633,0.141,9.780,0.180,1.4,10.830,0.092
CygnusA,8.728,0.006,8.206,0.005,1.5,9.010,0.014,10.696,0.040,10.365,0.011,1.6,11.072,0.017
Mrk1157a,8.889,0.004,7.882,0.006,1.3,9.027,0.006,10.927,0.023,10.327,0.011,1.5,11.204,0.012
ESO428-G14,8.351,0.014,8.028,0.006,1.1,8.580,0.010,11.051,0.018,10.220,0.015,1.4,11.253,0.011
ESO137-G34,8.554,0.010,8.242,0.007,1.2,8.817,0.009,10.886,0.025,10.249,0.013,1.4,11.132,0.014
IC3639,8.111,0.024,7.882,0.011,1.1,8.372,0.017,10.847,0.028,10.011,0.024,1.4,11.045,0.018
IC4777,8.461,0.012,8.103,0.009,1.2,8.699,0.010,10.849,0.026,10.154,0.016,1.4,11.077,0.016
IC4995,8.130,0.022,8.173,0.005,1.4,8.604,0.015,10.750,0.033,10.366,0.010,1.5,11.087,0.016
